ciclo	tratamento	local	profundidade	bloco	biomassa_raizes
1	amendoim_pd	l	0_20	b1	237
1	amendoim_pd	l	0_20	b2	116
1	amendoim_pd	l	0_20	b3	66
1	amendoim_cm	l	0_20	b1	44
1	amendoim_cm	l	0_20	b2	29
1	amendoim_cm	l	0_20	b3	238
1	amendoim_pp	l	0_20	b1	71
1	amendoim_pp	l	0_20	b2	58
1	amendoim_pp	l	0_20	b3	69
1	crotalária_pd	l	0_20	b1	103
1	crotalária_pd	l	0_20	b2	60
1	crotalária_pd	l	0_20	b3	84
1	crotalária_cm	l	0_20	b1	65
1	crotalária_cm	l	0_20	b2	109
1	crotalária_cm	l	0_20	b3	180
1	crotalária_pp	l	0_20	b1	111
1	crotalária_pp	l	0_20	b2	219
1	crotalária_pp	l	0_20	b3	170
1	milheto_pd	l	0_20	b1	82
1	milheto_pd	l	0_20	b2	130
1	milheto_pd	l	0_20	b3	33
1	milheto_cm	l	0_20	b1	112
1	milheto_cm	l	0_20	b2	121
1	milheto_cm	l	0_20	b3	117
1	milheto_pp	l	0_20	b1	44
1	milheto_pp	l	0_20	b2	139
1	milheto_pp	l	0_20	b3	70
1	sorgo_pd	l	0_20	b1	103
1	sorgo_pd	l	0_20	b2	15
1	sorgo_pd	l	0_20	b3	128
1	sorgo_cm	l	0_20	b1	104
1	sorgo_cm	l	0_20	b2	171
1	sorgo_cm	l	0_20	b3	157
1	sorgo_pp	l	0_20	b1	170
1	sorgo_pp	l	0_20	b2	26
1	sorgo_pp	l	0_20	b3	215
1	semcobertura_pc	l	0_20	b1	82
1	semcobertura_pc	l	0_20	b2	39
1	semcobertura_pc	l	0_20	b3	57
1	amendoim_pd	ca	0_20	b1	152
1	amendoim_pd	ca	0_20	b2	100
1	amendoim_pd	ca	0_20	b3	76
1	amendoim_cm	ca	0_20	b1	48
1	amendoim_cm	ca	0_20	b2	46
1	amendoim_cm	ca	0_20	b3	168
1	amendoim_pp	ca	0_20	b1	110
1	amendoim_pp	ca	0_20	b2	112
1	amendoim_pp	ca	0_20	b3	76
1	crotalária_pd	ca	0_20	b1	86
1	crotalária_pd	ca	0_20	b2	144
1	crotalária_pd	ca	0_20	b3	60
1	crotalária_cm	ca	0_20	b1	118
1	crotalária_cm	ca	0_20	b2	82
1	crotalária_cm	ca	0_20	b3	108
1	crotalária_pp	ca	0_20	b1	50
1	crotalária_pp	ca	0_20	b2	52
1	crotalária_pp	ca	0_20	b3	66
1	milheto_pd	ca	0_20	b1	86
1	milheto_pd	ca	0_20	b2	242
1	milheto_pd	ca	0_20	b3	42
1	milheto_cm	ca	0_20	b1	154
1	milheto_cm	ca	0_20	b2	116
1	milheto_cm	ca	0_20	b3	78
1	milheto_pp	ca	0_20	b1	60
1	milheto_pp	ca	0_20	b2	130
1	milheto_pp	ca	0_20	b3	88
1	sorgo_pd	ca	0_20	b1	102
1	sorgo_pd	ca	0_20	b2	76
1	sorgo_pd	ca	0_20	b3	52
1	sorgo_cm	ca	0_20	b1	128
1	sorgo_cm	ca	0_20	b2	84
1	sorgo_cm	ca	0_20	b3	184
1	sorgo_pp	ca	0_20	b1	158
1	sorgo_pp	ca	0_20	b2	110
1	sorgo_pp	ca	0_20	b3	160
1	semcobertura_pc	ca	0_20	b1	62
1	semcobertura_pc	ca	0_20	b2	40
1	semcobertura_pc	ca	0_20	b3	102
1	amendoim_pd	el	0_20	b1	110
1	amendoim_pd	el	0_20	b2	44
1	amendoim_pd	el	0_20	b3	32
1	amendoim_cm	el	0_20	b1	64
1	amendoim_cm	el	0_20	b2	18
1	amendoim_cm	el	0_20	b3	90
1	amendoim_pp	el	0_20	b1	50
1	amendoim_pp	el	0_20	b2	70
1	amendoim_pp	el	0_20	b3	72
1	crotalária_pd	el	0_20	b1	80
1	crotalária_pd	el	0_20	b2	98
1	crotalária_pd	el	0_20	b3	52
1	crotalária_cm	el	0_20	b1	100
1	crotalária_cm	el	0_20	b2	56
1	crotalária_cm	el	0_20	b3	68
1	crotalária_pp	el	0_20	b1	66
1	crotalária_pp	el	0_20	b2	44
1	crotalária_pp	el	0_20	b3	32
1	milheto_pd	el	0_20	b1	44
1	milheto_pd	el	0_20	b2	184
1	milheto_pd	el	0_20	b3	62
1	milheto_cm	el	0_20	b1	108
1	milheto_cm	el	0_20	b2	58
1	milheto_cm	el	0_20	b3	78
1	milheto_pp	el	0_20	b1	38
1	milheto_pp	el	0_20	b2	78
1	milheto_pp	el	0_20	b3	32
1	sorgo_pd	el	0_20	b1	32
1	sorgo_pd	el	0_20	b2	70
1	sorgo_pd	el	0_20	b3	38
1	sorgo_cm	el	0_20	b1	92
1	sorgo_cm	el	0_20	b2	66
1	sorgo_cm	el	0_20	b3	88
1	sorgo_pp	el	0_20	b1	54
1	sorgo_pp	el	0_20	b2	76
1	sorgo_pp	el	0_20	b3	96
1	semcobertura_pc	el	0_20	b1	60
1	semcobertura_pc	el	0_20	b2	72
1	semcobertura_pc	el	0_20	b3	38
2	amendoim_pd	l	0_20	b1	180.81
2	amendoim_pd	l	0_20	b2	309.22
2	amendoim_pd	l	0_20	b3	202.85
2	amendoim_cm	l	0_20	b1	247.56
2	amendoim_cm	l	0_20	b2	242.01
2	amendoim_cm	l	0_20	b3	183.49
2	amendoim_pp	l	0_20	b1	329.22
2	amendoim_pp	l	0_20	b2	191.88
2	amendoim_pp	l	0_20	b3	248.75
2	crotalária_pd	l	0_20	b1	143.97
2	crotalária_pd	l	0_20	b2	245.24
2	crotalária_pd	l	0_20	b3	169.7
2	crotalária_cm	l	0_20	b1	317.72
2	crotalária_cm	l	0_20	b2	144.9
2	crotalária_cm	l	0_20	b3	163.91
2	crotalária_pp	l	0_20	b1	99.93
2	crotalária_pp	l	0_20	b2	169.31
2	crotalária_pp	l	0_20	b3	300.26
2	milheto_pd	l	0_20	b1	234.29
2	milheto_pd	l	0_20	b2	117.04
2	milheto_pd	l	0_20	b3	127.95
2	milheto_cm	l	0_20	b1	219.05
2	milheto_cm	l	0_20	b2	398.88
2	milheto_cm	l	0_20	b3	217.83
2	milheto_pp	l	0_20	b1	360.21
2	milheto_pp	l	0_20	b2	284.06
2	milheto_pp	l	0_20	b3	192.85
2	sorgo_pd	l	0_20	b1	277.17
2	sorgo_pd	l	0_20	b2	98.23
2	sorgo_pd	l	0_20	b3	353.02
2	sorgo_cm	l	0_20	b1	195.31
2	sorgo_cm	l	0_20	b2	229.21
2	sorgo_cm	l	0_20	b3	241.4
2	sorgo_pp	l	0_20	b1	164.39
2	sorgo_pp	l	0_20	b2	322.07
2	sorgo_pp	l	0_20	b3	332.6
2	semcobertura_pc	l	0_20	b1	158.76
2	semcobertura_pc	l	0_20	b2	221.5
2	semcobertura_pc	l	0_20	b3	173.82
2	amendoim_pd	ca	0_20	b1	141.76
2	amendoim_pd	ca	0_20	b2	152.88
2	amendoim_pd	ca	0_20	b3	144.72
