ciclo	tratamento	linha_entrelinha	profundidade	bloco	ds	ds_max	grau_de_compactacao	argila	silte	areia	macro	micro	pt	dp	rp	dmp	macroagregado	ssi	p_resina	mos	ph	k	ca	mg	h_al	c	est_c	n	n_g_kg	est_n
1	amendoim_cm	el	0_20	b1	1.62	1.84	88.36	224.4	102.8	673	0.13	0.25	0.38	2.69	1.17	0.54	3.09	0.02	2.6	14.4	4.32	0.56	9.3	5.1	25	4.15	7.36	0.64	6.36	0.73
1	amendoim_cm	el	0_20	b2	1.61	1.84	87.74	224.4	102.8	673	0.11	0.29	0.4	2.69	1.13	0.48	2.58	0.02	3.2	12.4	4.58	0.7	12.1	6.6	22	4.07	6.71	0.51	5.11	0.61
1	amendoim_cm	el	0_20	b3	1.65	1.84	89.89	224.4	102.8	673	0.15	0.24	0.39	2.69	1.12	0.53	3.16	0.02	2.8	16	5	0.56	9.6	6.4	16.4	4.11	7.03	0.58	5.80	0.68
1	amendoim_cm	el	20_30	b1	1.58	1.8	87.75	267	102	631	0.12	0.19	0.31	2.7	1.03	0.31	0.31	0.02	1	12	4.2	0.3	5	3	25	4.25	7.43	0.60	5.95	1.02
1	amendoim_cm	el	20_30	b2	1.67	1.81	92.06	267	102	631	0.08	0.3	0.38	2.7	1.43	0.26	0.3	0.01	1	10	4.7	0.3	16	3.5	22	2.82	4.94	0.52	5.19	0.89
1	amendoim_cm	el	20_30	b3	1.68	1.81	93.2	267	102	631	0.15	0.23	0.38	2.7	1.23	0.36	0.47	0.02	1	13	4.7	0.3	5	4	16	3.53	6.19	0.26	2.59	0.45
1	amendoim_cm	el	30_70	b1	1.53	1.77	86.2	322	107	571	0.11	0.33	0.43	2.69	1.98	0.88	1.2	0.01	2	11	4.5	0.35	6	4	22	1.94	13.21	0.60	6.03	3.86
1	amendoim_cm	el	30_70	b2	1.62	1.77	91.05	322	107	571	0.1	0.3	0.4	2.69	1.68	0.74	1.5	0.01	2	10	4.5	0.5	9	7	25	1.94	13.21	0.53	5.34	3.42
1	amendoim_cm	el	30_70	b3	1.79	1.77	100.97	322	107	571	0.14	0.2	0.33	2.69	1.83	0.6	1.94	0.01	2	13	5	0.2	6	4	15	1.94	13.21	0.20	1.96	1.25
1	amendoim_cm	l	0_20	b1	1.53	1.84	83.55	224.4	102.8	673	0.19	0.23	0.42	2.69	0.96	0.61	6.07	0.02	3.1	12.2	4.52	0.92	11.8	7	23.2	4.39	8.11	0.52	5.19	0.55
1	amendoim_cm	l	0_20	b2	1.59	1.83	87.12	224.4	102.8	673	0.15	0.29	0.44	2.69	1.05	0.54	5.82	0.03	3.4	15.4	4.94	0.66	13.3	7.9	19.9	5.11	10.86	0.54	5.37	0.53
1	amendoim_cm	l	0_20	b3	1.5	1.83	81.78	224.4	102.8	673	0.17	0.25	0.41	2.69	1.02	0.66	5.67	0.03	3.1	19.8	4.94	0.76	10.6	6.55	18.8	4.75	9.49	0.53	5.28	0.54
1	amendoim_cm	l	20_30	b1	1.53	1.8	85.14	267	102	631	0.27	0.26	0.53	2.7	1	0.43	2.5	0.02	1	12	4.1	0.5	4	3	25	4.67	7.84	0.54	5.40	0.91
1	amendoim_cm	l	20_30	b2	1.57	1.81	86.59	267	102	631	0.27	0.29	0.56	2.7	1	0.44	2.77	0.02	1	12	4.45	0.45	5.5	4.5	21.5	3.4	5.72	0.40	4.00	0.67
1	amendoim_cm	l	20_30	b3	1.41	1.8	78.08	267	102	631	0.26	0.22	0.48	2.7	1	0.42	1.77	0.02	1	14	4.8	0.4	7	3.75	18	4.03	6.78	0.47	4.70	0.79
1	amendoim_cm	l	30_70	b1	1.57	1.77	88.62	322	107	571	0.09	0.33	0.42	2.69	1.56	0.66	4.68	0.01	1	11	5.1	0.4	13	9	20	2.73	17.69	0.36	3.57	2.31
1	amendoim_cm	l	30_70	b2	1.61	1.76	91.58	322	107	571	0.08	0.32	0.4	2.69	2.24	0.55	3.18	0.02	1	16	5.1	0.4	13	9	20	4.93	31.94	0.52	5.17	3.35
1	amendoim_cm	l	30_70	b3	1.65	1.76	93.77	322	107	571	0.08	0.3	0.39	2.69	1.9	0.78	6.18	0.02	1	12	5.1	0.4	13	9	20	3.83	24.82	0.44	4.37	2.83
1	amendoim_pd	el	0_20	b1	1.62	1.83	88.26	224.4	102.8	673	0.19	0.21	0.4	2.69	1.43	0.83	9.66	0.03	2.4	11.8	5.01	0.54	13.9	6.9	19.8	4.62	10.06	0.64	6.42	0.72
1	amendoim_pd	el	0_20	b2	1.69	1.83	92.27	224.4	102.8	673	0.13	0.24	0.37	2.69	1.53	0.75	8.98	0.03	3	17.8	5.2	0.55	13.8	7	17.8	5.37	10.92	0.48	4.83	0.57
1	amendoim_pd	el	0_20	b3	1.56	1.83	85.11	224.4	102.8	673	0.16	0.23	0.39	2.69	1.56	0.71	7.46	0.03	2.2	15.8	5.24	0.52	15	6.8	18.8	4.69	10.24	0.44	4.37	0.53
1	amendoim_pd	el	20_30	b1	1.74	1.8	96.33	267	102	631	0.14	0.22	0.36	2.7	1.62	0.96	17.25	0.02	1	10	4.2	0.2	13	4.5	25	4.25	7.43	0.60	6.04	1.04
1	amendoim_pd	el	20_30	b2	1.69	1.8	93.84	267	102	631	0.12	0.25	0.38	2.7	2.24	1.06	14.9	0.03	2	23	4.7	0.3	9	4	20	5.4	9.45	0.50	5.00	0.86
1	amendoim_pd	el	20_30	b3	1.64	1.8	90.84	267	102	631	0.11	0.28	0.39	2.7	1.93	0.75	10.3	0.02	1	13	4.9	0.2	17	5	25	4.82	8.44	0.39	3.87	0.67
1	amendoim_pd	el	30_70	b1	1.72	1.76	97.64	322	107	571	0.08	0.28	0.36	2.69	2.23	1.08	17.43	0.02	1	13	4.5	0.2	9	7	25	3.9	26.51	0.79	7.85	5.02
1	amendoim_pd	el	30_70	b2	1.72	1.76	97.33	322	107	571	0.08	0.28	0.36	2.69	1.99	1.05	16.49	0.02	2	16	4.6	0.25	10	8	22	3.9	26.51	0.42	4.24	2.71
1	amendoim_pd	el	30_70	b3	1.71	1.76	97.02	322	107	571	0.08	0.28	0.36	2.69	2.49	1.02	11.14	0.02	1	12	5.3	0.3	13	6	18	3.9	26.51	0.59	5.86	3.75
1	amendoim_pd	l	0_20	b1	1.52	1.84	82.76	224.4	102.8	673	0.15	0.28	0.43	2.69	0.87	0.74	9.71	0.02	2.3	14.2	4.46	0.49	11.3	6.25	20.4	3.7	7.88	0.43	4.28	0.47
1	amendoim_pd	l	0_20	b2	1.58	1.84	86.09	224.4	102.8	673	0.15	0.26	0.41	2.69	0.83	0.71	9.31	0.02	2.4	16.6	4.85	0.73	11.8	5.7	19	4.27	8.7	0.44	4.38	0.48
1	amendoim_pd	l	0_20	b3	1.53	1.84	83.16	224.4	102.8	673	0.15	0.28	0.43	2.69	0.8	0.74	9.49	0.02	2	14.2	5.08	0.5	12.2	7.4	18.8	3.98	8.29	0.43	4.33	0.47
1	amendoim_pd	l	20_30	b1	1.46	1.81	80.94	267	102	631	0.16	0.3	0.46	2.7	0.81	0.84	10.73	0.02	1	11	4.4	0.2	11	4	25	3.35	5.62	0.43	4.28	0.72
1	amendoim_pd	l	20_30	b2	1.6	1.8	88.94	267	102	631	0.2	0.21	0.41	2.7	1.06	0.59	7.31	0.02	1	17	4.7	0.4	11	5.5	22.5	5.21	8.75	0.59	5.90	0.99
1	amendoim_pd	l	20_30	b3	1.57	1.8	87.11	267	102	631	0.13	0.29	0.42	2.7	0.75	0.9	11.43	0.02	1	10	5	0.6	11	7	20	4.28	7.19	0.51	5.09	0.85
1	amendoim_pd	l	30_70	b1	1.5	1.77	84.79	322	107	571	0.06	0.39	0.44	2.69	1.31	0.41	6.79	0.01	2	10	5.4	0.55	12	6	16	3.18	20.63	0.37	3.68	2.39
1	amendoim_pd	l	30_70	b2	1.5	1.77	84.79	322	107	571	0.06	0.39	0.44	2.69	1.25	0.51	5.64	0.01	1.5	12	4.3	0.8	12	5.5	17	3.18	20.63	0.37	3.68	2.39
1	amendoim_pd	l	30_70	b3	1.5	1.77	84.79	322	107	571	0.06	0.39	0.44	2.69	1.28	0.3	4.5	0.01	1	11	5.1	0.3	12	5	18	3.18	20.63	0.37	3.68	2.39
1	amendoim_pp	el	0_20	b1	1.63	1.83	88.75	224.4	102.8	673	0.15	0.28	0.43	2.69	0.79	0.51	3.38	0.03	2	15.4	4.52	0.75	10.3	6.4	22.8	4.8	13.51	1.36	13.57	1.41
