ciclo	tratamento	bloco	produção	Raiz_1	Raiz_2	Raiz_3
1	amendoim_cm	b1	128.64	44	26	38
1	amendoim_cm	b2	85.66	29	44	8
1	amendoim_cm	b3	117.02	238	108	26
1	amendoim_pd	b1	88.3	237	112	22
1	amendoim_pd	b2	119	116	78	14
1	amendoim_pd	b3	110.19	66	46	52
1	amendoim_pp	b1	93.74	71	78	18
1	amendoim_pp	b2	103.54	58	58	38
1	amendoim_pp	b3	113.71	69	34	54
1	crotalária_cm	b1	99.35	65	106	8
1	crotalária_cm	b2	108.39	109	138	22
1	crotalária_cm	b3	99.56	180	52	8
1	crotalária_pd	b1	140.74	103	98	32
1	crotalária_pd	b2	96.43	60	10	48
1	crotalária_pd	b3	112.97	84	22	24
1	crotalária_pp	b1	116.23	111	58	68
1	crotalária_pp	b2	113.66	219	88	4
1	crotalária_pp	b3	118.53	170	24	10
1	milheto_cm	b1	91.27	112	98	88
1	milheto_cm	b2	100.08	121	10	32
1	milheto_cm	b3	108.89	117	136	16
1	milheto_pd	b1	113.75	82	50	10
1	milheto_pd	b2	117.19	130	52	16
1	milheto_pd	b3	108.62	33	36	16
1	milheto_pp	b1	106.3	44	30	44
1	milheto_pp	b2	93.52	139	16	14
1	milheto_pp	b3	131.67	70	44	34
1	semcobertura_pc	b1	104.74	82	34	20
1	semcobertura_pc	b2	102.89	39	50	18
1	semcobertura_pc	b3	106.55	57	44	12
1	sorgo_cm	b1	104.38	104	94	30
1	sorgo_cm	b2	109.11	171	30	16
1	sorgo_cm	b3	113.84	157	210	290
1	sorgo_pd	b1	137.86	103	60	30
1	sorgo_pd	b2	119.33	15	22	16
1	sorgo_pd	b3	100.81	128	156	46
1	sorgo_pp	b1	137.86	170	10	52
1	sorgo_pp	b2	119.33	26	8	14
1	sorgo_pp	b3	100.81	215	114	30
2	amendoim_cm	b1	82.39	247.56	149.2	49.5
2	amendoim_cm	b2	101.27	242.01	610.3	124.1
2	amendoim_cm	b3	112.73	183.49	156.6	56.7
2	amendoim_pd	b1	96.91	180.81	85.9	33.8
2	amendoim_pd	b2	93.9	309.22	346.1	116.7
2	amendoim_pd	b3	114.7	202.85	185	77.5
2	amendoim_pp	b1	86.82	329.22	255.2	59.6
2	amendoim_pp	b2	104.97	191.88	86.1	59.5
2	amendoim_pp	b3	112.76	248.75	160.2	39.6
2	crotalária_cm	b1	97.82	317.72	128.2	66.5
2	crotalária_cm	b2	95.64	144.9	55.8	24.7
2	crotalária_cm	b3	104.63	163.91	173.8	7.3
2	crotalária_pd	b1	102.49	143.97	317.8	13.6
2	crotalária_pd	b2	105.64	245.24	266.1	94
2	crotalária_pd	b3	102.98	169.7	237	127.8
2	crotalária_pp	b1	127.57	99.93	103.1	18.6
2	crotalária_pp	b2	106.13	169.31	342.4	59.7
2	crotalária_pp	b3	107.07	300.26	205	37.7
2	milheto_cm	b1	99.3	219.05	158.4	31.9
2	milheto_cm	b2	103.82	398.88	246.7	43.3
2	milheto_cm	b3	93.26	217.83	111.1	34.1
2	milheto_pd	b1	108.21	234.29	129.7	65.5
2	milheto_pd	b2	103.27	117.04	206.7	64.3
2	milheto_pd	b3	105.74	127.95	131.4	20.5
2	milheto_pp	b1	114.92	360.21	444.1	32.9
2	milheto_pp	b2	102.26	284.06	135.7	44.2
2	milheto_pp	b3	91.8	192.85	148.9	76.1
2	semcobertura_pc	b1	101.3	158.76	93.8	70.4
2	semcobertura_pc	b2	106.07	221.5	199.6	39.4
2	semcobertura_pc	b3	103.77	173.82	106.7	53.6
2	sorgo_cm	b1	95.79	195.31	73.5	47.5
2	sorgo_cm	b2	119.56	229.21	202.4	70
2	sorgo_cm	b3	107.87	241.4	164.9	112.9
2	sorgo_pd	b1	112.39	277.17	90.4	41.6
2	sorgo_pd	b2	96.63	98.23	31.9	49.4
2	sorgo_pd	b3	80.88	353.02	215	164.5
2	sorgo_pp	b1	115.87	164.39	183	153
2	sorgo_pp	b2	106.39	322.07	160.8	40.2
2	sorgo_pp	b3	101.24	332.6	179	130.5
3	amendoim_cm	b1	88.69	178.54	78.2	54.4
3	amendoim_cm	b2	110.76	195.91	80.5	72.1
